1,Cailie,Shire,Sydney (NSW),Engineering
2,Sharon,Mccrain,Gold Coast (QLD),Call Centre & Customer Service
3,Tiegan,Dingson,Hobart (TAS),Marketing & Communications
4,Allanah,Soltero,Brisbane (QLD),Call Centre & Customer Service
5,Elizaveta,Antonson,Hobart (TAS),Accounting
6,Angela,Ranta,Cairns (QLD),Science & Technology
7,Olivia-Louise,Bahe,Cairns (QLD),Call Centre & Customer Service
8,Khadija,Dunkerley,Gold Coast (QLD),Community Services & Development
9,Kinga,Horsch,Sydney (NSW),Banking & Financial Services
10,Alysha-Anne,Condroski,Pert (WA),Hospitality & Tourism
11,Munashe,Abdullai,Hobart (TAS),Advertising, Arts & Media
12,Kaylie,Stary,Pert (WA),Self Employment
13,Rihannah,Halt,Cairns (QLD),Marketing & Communications
14,Lorelei,Klages,Brisbane (QLD),Legal
15,Mabruka,Tramp,Brisbane (QLD),Sport & Recreation
16,Hira,Parga,Cairns (QLD),Farming, Animals & Conservation
17,Ranya,Lindamood,Cairns (QLD),Manufacturing, Transport & Logistics
18,Codi,Poppema,Cairns (QLD),Hospitality & Tourism
19,Oluwatosin,Opet,Melbourne (VIC),Design & Architecture
20,Nureza,Gonsalves,Gold Coast (QLD),Human Resources & Recruitment
21,Deryn,Shoemaker,Melbourne (VIC),Science & Technology
22,Xue,Kazarian,Sydney (NSW),Insurance & Superannuation
23,Jing,Sago,Pert (WA),Advertising, Arts & Media
24,Hillary,Phay,Pert (WA),Banking & Financial Services
25,Kristin,Fritts,Cairns (QLD),Science & Technology
26,Remi,Keatley,Pert (WA),Engineering
27,Kalie,Em,Pert (WA),Sales
28,Lizzie,Manzone,Cairns (QLD),Science & Technology
29,Myah,Pritzel,Gold Coast (QLD),Community Services & Development
30,Oluwaferanmi,Aeschbacher,Gold Coast (QLD),Trades & Services
31,Matylda,Weiden,Cairns (QLD),Science & Technology
32,Alyse,Helvie,Gold Coast (QLD),Engineering
33,Aimee,Archiopoli,Pert (WA),Sport & Recreation
34,Kamilah,Mckibbin,Brisbane (QLD),Sales
35,Karali,Kulish,Cairns (QLD),Retail & Consumer Products
36,Witney,Loughlin,Gold Coast (QLD),Education & Training
37,Rhiona,Courrege,Pert (WA),Trades & Services
38,Meryl,Dufrain,Cairns (QLD),Advertising, Arts & Media
39,Sadhbh,Conrad,Hobart (TAS),Marketing & Communications
40,Tilhi,Angolo,Cairns (QLD),Consulting & Strategy
41,Alveena,Casias,Cairns (QLD),Hospitality & Tourism
42,Emilia,Quan,Sydney (NSW),Farming, Animals & Conservation
43,Mhia,Hemon,Hobart (TAS),Self Employment
44,Caris,Brethour,Cairns (QLD),Farming, Animals & Conservation
45,Evelyn,Sanderford,Brisbane (QLD),Marketing & Communications
46,Lucy-Anne,Brison,Cairns (QLD),Advertising, Arts & Media
47,Munachi,Stinehour,Melbourne (VIC),Information & Communication Technology
48,Sascha,Newland,Sydney (NSW),Community Services & Development
49,Shakira,Coale,Sydney (NSW),Engineering
50,Betsy,Vaudrain,Hobart (TAS),Marketing & Communications
51,Yelena,Pebbles,Melbourne (VIC),Healthcare & Medical
52,Anjali,Petrella,Gold Coast (QLD),Engineering
53,Brandi,Heppell,Pert (WA),Mining, Resources & Energy
54,Anayah,Timbers,Cairns (QLD),Engineering
55,Devin,Centrone,Gold Coast (QLD),Legal
56,Tatiana,Edlao,Hobart (TAS),Marketing & Communications
57,Carli,Villamil,Melbourne (VIC),Hospitality & Tourism
58,Haniya,Fogelson,Brisbane (QLD),Education & Training
59,Kiri,Heavrin,Gold Coast (QLD),Consulting & Strategy
60,Ayaan,Cuffari,Hobart (TAS),Information & Communication Technology
61,Sali,Volpa,Brisbane (QLD),Engineering
62,Clara,Infinger,Melbourne (VIC),Consulting & Strategy
63,Wezi,Crall,Brisbane (QLD),Sales
64,Bena,Freemyer,Brisbane (QLD),Trades & Services
65,Marisa,Lehrer,Pert (WA),Accounting
66,Blanka,Fawler,Pert (WA),Insurance & Superannuation
67,Giane,Atamian,Pert (WA),Manufacturing, Transport & Logistics
68,Mena,Kilbourn,Cairns (QLD),Information & Communication Technology
69,Kaci-Marie,Parrotte,Brisbane (QLD),Construction
70,Kaedyn,Mitchel,Pert (WA),Sport & Recreation
71,Suvi,Laviero,Hobart (TAS),Administration & Office Support
72,Kellsey,Eliopoulos,Brisbane (QLD),Engineering
73,Sanjana,Tarrien,Pert (WA),Information & Communication Technology
74,Deonaid,Strathy,Cairns (QLD),Design & Architecture
75,Seatle,Hachette,Sydney (NSW),Real Estate & Property
76,Madeeha,Groulx,Cairns (QLD),Sport & Recreation
77,Malebo,Jara,Sydney (NSW),Legal
78,Katy,Vanvalen,Hobart (TAS),Consulting & Strategy
79,Kendyll,Bessick,Brisbane (QLD),Education & Training
80,Bramble,Lepping,Sydney (NSW),Farming, Animals & Conservation
81,Skyla,Lehrer,Brisbane (QLD),Advertising, Arts & Media
82,Aida,Fair,Cairns (QLD),Engineering
83,Aleina,Abadi,Cairns (QLD),Self Employment
84,Abbie-Rose,Stempien,Gold Coast (QLD),Administration & Office Support
85,Baighley,Dalitz,Hobart (TAS),Community Services & Development
86,Naoise,Slice,Gold Coast (QLD),Administration & Office Support
87,Rachael,Kropff,Sydney (NSW),Healthcare & Medical
88,Aaima,Mabey,Melbourne (VIC),Mining, Resources & Energy
89,Eliska,Mcfarlin,Hobart (TAS),Self Employment
90,Alice-Drew,Zdon,Cairns (QLD),Community Services & Development
91,Kashuf,Silveri,Melbourne (VIC),Administration & Office Support
92,Malina,Boyan,Brisbane (QLD),Banking & Financial Services
93,Rubie,Cundy,Cairns (QLD),Sales
94,Caitriona,Andera,Brisbane (QLD),Hospitality & Tourism
95,Kloe,Moskwa,Hobart (TAS),Real Estate & Property
96,Chahat,Radsky,Pert (WA),Mining, Resources & Energy
97,Reena,Quastad,Sydney (NSW),Accounting
98,Zaynah,Kornegay,Melbourne (VIC),Sport & Recreation
99,Kenza,Herne,Brisbane (QLD),Consulting & Strategy
100,Beyza,Canslor,Hobart (TAS),Call Centre & Customer Service

